"","Plot","Yr","LAT","LON","ELEV","Common.Name","biomass.Mg.ha.dead","biomass.Mg.ha.live","standingdead_C_Mg_ha","livetree_C_Mg_ha","carbonratio","BGtree_C_Mg_ha","foresttype","standingdead_C_gm2","livetree_C_gm2","BGtree_C_gm2","total_treeC_gm2","NPP_C_gm2y","Year_start_NPP","Year_end_NPP"
"31",139,2010,57.729599,-134.95637,400,"Alaska yellow-cedar",NA,44.1820708226687,NA,22.0910354113343,0.478,10.5595149266178,"western-hemlock",NA,2209.10354113343,1055.95149266178,3265.05503379521,NA,NA,NA
"32",171,1997,55.662207,-132.652439,100,"Alaska yellow-cedar",73.8145275921194,39.4216796063983,36.9072637960597,19.7108398031991,0.478,9.42178142592918,"western-hemlock",3690.72637960597,1971.08398031991,942.178142592918,2913.26212291283,NA,NA,NA
"33",171,1997,55.662207,-132.652439,100,"western hemlock",2.85177299501652,14.9866590559029,1.42588649750826,7.49332952795144,0.507,3.79911807067138,"western-hemlock",142.588649750826,749.332952795144,379.911807067138,1129.24475986228,NA,NA,NA
"34",171,1997,55.662207,-132.652439,100,"Sitka spruce",NA,28.8836452463485,NA,14.4418226231742,0.5,7.22091131158712,"western-hemlock",NA,1444.18226231742,722.091131158712,2166.27339347614,NA,NA,NA
"35",171,1997,55.662207,-132.652439,100,"lodgepole pine",NA,108.831147936694,NA,54.4155739683468,0.503,27.3710337060784,"western-hemlock",NA,5441.55739683468,2737.10337060784,8178.66076744252,NA,NA,NA
"36",171,1997,55.662207,-132.652439,100,"mountain hemlock",NA,6.17197469371324,NA,3.08598734685662,0.478,1.47510195179747,"western-hemlock",NA,308.598734685662,147.510195179747,456.108929865409,NA,NA,NA
"37",171,2009,55.662207,-132.652439,100,"Alaska yellow-cedar",74.4113375545089,36.6192589723075,37.2056687772544,18.3096294861538,0.478,8.7520028943815,"alaska-yellow-cedar",3720.56687772544,1830.96294861538,875.20028943815,2706.16323805353,NA,NA,NA
"38",171,2009,55.662207,-132.652439,100,"lodgepole pine",NA,107.557979922745,NA,53.7789899613726,0.503,27.0508319505704,"alaska-yellow-cedar",NA,5377.89899613726,2705.08319505704,8082.9821911943,NA,NA,NA
"39",171,2009,55.662207,-132.652439,100,"mountain hemlock",NA,7.25796222583201,NA,3.62898111291601,0.478,1.73465297197385,"alaska-yellow-cedar",NA,362.898111291601,173.465297197385,536.363408488986,NA,NA,NA
"40",171,2009,55.662207,-132.652439,100,"western hemlock",28.0613268193523,144.570744559935,14.0306634096761,72.2853722799674,0.507,36.6486837459435,"western-hemlock",1403.06634096761,7228.53722799674,3664.86837459435,10893.4056025911,813.6800702274,1997,2009
"41",171,2009,55.662207,-132.652439,100,"Alaska yellow-cedar",NA,1190.30594720536,NA,595.152973602679,0.478,284.483121382081,"western-hemlock",NA,59515.2973602679,28448.3121382081,87963.609498476,7087.5289479636,1997,2009
"42",171,2009,55.662207,-132.652439,100,"Sitka spruce",NA,297.362523166382,NA,148.681261583191,0.5,74.3406307915955,"western-hemlock",NA,14868.1261583191,7434.06307915955,22302.1892374787,1677.99298700021,1997,2009
"43",171,2020,55.662207,-132.652439,100,"Alaska yellow-cedar",73.9898602899822,41.2846537690692,36.9949301449911,20.6423268845346,0.478,9.86703225080754,"alaska-yellow-cedar",3699.49301449911,2064.23268845346,986.703225080754,3050.93591353421,31.3429704982444,2009,2020
"44",171,2020,55.662207,-132.652439,100,"lodgepole pine",NA,122.818923346364,NA,61.4094616731818,0.503,30.8889592216104,"alaska-yellow-cedar",NA,6140.94616731818,3088.89592216104,9229.84208947922,104.259990753175,2009,2020
"45",171,2020,55.662207,-132.652439,100,"mountain hemlock",NA,8.16707426389276,NA,4.08353713194638,0.478,1.95193074907037,"alaska-yellow-cedar",NA,408.353713194638,195.193074907037,603.546788101675,6.10757996478993,2009,2020
"46",171,2020,55.662207,-132.652439,100,"Sitka spruce",NA,301.59538841743,NA,150.797694208715,0.5,75.3988471043575,"western-hemlock",NA,15079.7694208715,7539.88471043575,22619.6541313073,28.8604448935095,2009,2020
"47",171,2020,55.662207,-132.652439,100,"western redcedar",NA,714.801426783033,NA,357.400713391516,0.504,180.129959549324,"western-hemlock",NA,35740.0713391516,18012.9959549324,53753.0672940841,NA,NA,NA
"48",171,2020,55.662207,-132.652439,100,"western hemlock",NA,172.480881294571,NA,86.2404406472855,0.507,43.7239034081737,"western-hemlock",NA,8624.04406472855,4372.39034081737,12996.4344055459,191.184436632258,2009,2020
"49",229,1998,55.188954,-132.771577,1100,"Sitka spruce",NA,56.5186016294127,NA,28.2593008147063,0.5,14.1296504073532,"mountain-hemlock",NA,2825.93008147063,1412.96504073532,4238.89512220595,NA,NA,NA
"50",229,1998,55.188954,-132.771577,1100,"western hemlock",NA,64.2683407974249,NA,32.1341703987125,0.507,16.2920243921472,"mountain-hemlock",NA,3213.41703987125,1629.20243921472,4842.61947908597,NA,NA,NA
"51",229,1998,55.188954,-132.771577,1100,"mountain hemlock",NA,516.626561252556,NA,258.313280626278,0.478,123.473748139361,"mountain-hemlock",NA,25831.3280626278,12347.3748139361,38178.7028765639,NA,NA,NA
